Time;"S(0l)";"S(l/2)";"S(0l)An";"S(l/2)An";
5,4229e-06;0;0;0;0;
5,43202e-06;0;0;0;0;
5,44113e-06;0;0;0;0;
5,45025e-06;0;0;0;0;
5,45936e-06;0;0;0;0;
5,46847e-06;0;0;0;0;
5,47759e-06;0;0;0;0;
5,4867e-06;0;0;0;0;
5,49582e-06;0;0;0;0;
5,50493e-06;0;0;0;0;
5,51404e-06;0;0;0;0;
5,52316e-06;0;0;0;0;
5,53227e-06;0;0;0;0;
5,54139e-06;0;0;0;0;
5,5505e-06;0;0;0;0;
5,55962e-06;0;0;0;0;
5,56873e-06;0;0;0;0;
5,57784e-06;0;0;0;0;
5,58696e-06;0;0;0;0;
5,59607e-06;0;0;0;0;
5,60519e-06;0;0;0;0;
5,6143e-06;0;0;0;0;
5,62341e-06;0;0;0;0;
5,63253e-06;0;0;0;0;
5,64164e-06;0;0;0;0;
5,65076e-06;0;0;0;0;
5,65987e-06;0;0;0;0;
5,66898e-06;0;0;0;0;
5,6781e-06;0;0;0;0;
5,68721e-06;0;0;0;0;
5,69633e-06;0;0;0;0;
5,70544e-06;0;0;0;0;
5,71456e-06;0;0;0;0;
5,72367e-06;0;0;0;0;
5,73278e-06;0;0;0;0;
5,7419e-06;0;0;0;0;
5,75101e-06;0;0;0;0;
5,76013e-06;0;0;0;0;
5,76924e-06;0;0;0;0;
5,77835e-06;0;0;0;0;
5,78747e-06;0;0;0;0;
5,79658e-06;0;0;0;0;
5,8057e-06;0;0;0;0;
5,81481e-06;0;0;0;0;
5,82392e-06;0;0;0;0;
5,83304e-06;0;0;0;0;
5,84215e-06;0;0;0;0;
5,85127e-06;0;0;0;0;
5,86038e-06;0;0;0;0;
5,8695e-06;0;0;0;0;
5,87861e-06;0;0;0;0;
5,88772e-06;0;0;0;0;
5,89684e-06;0;0;0;0;
5,90595e-06;0;0;0;0;
5,91507e-06;0;0;0;0;
5,92418e-06;0;0;0;0;
5,93329e-06;0;0;0;0;
5,94241e-06;0;0;0;0;
5,95152e-06;0;0;0;0;
5,96064e-06;0;0;0;0;
5,96975e-06;0;0;0;0;
5,97886e-06;0;0;0;0;
5,98798e-06;0;0;0;0;
5,99709e-06;0;0;0;0;
6,00621e-06;0;0;0;0;
6,01532e-06;0;0;0;0;
6,02444e-06;0;0;0;0;
6,03355e-06;0;0;0;0;
6,04266e-06;0;0;0;0;
6,05178e-06;0;0;0;0;
6,06089e-06;0;0;0;0;
6,07001e-06;0;0;0;0;
6,07912e-06;0;0;0;0;
6,08823e-06;0;0;0;0;
6,09735e-06;0;0;0;0;
6,10646e-06;0;0;0;0;
6,11558e-06;0;0;0;0;
6,12469e-06;0;0;0;0;
6,13381e-06;0;0;0;0;
6,14292e-06;0;0;0;0;
6,15203e-06;0;0;0;0;
6,16115e-06;0;0;0;0;
6,17026e-06;0;0;0;0;
6,17938e-06;0;0;0;0;
6,18849e-06;0;0;0;0;
6,1976e-06;0;0;0;0;
6,20672e-06;0;0;0;0;
6,21583e-06;0;0;0;0;
6,22495e-06;0;0;0;0;
6,23406e-06;0;0;0;0;
6,24317e-06;0;0;0;0;
6,25229e-06;0;0;0;0;
6,2614e-06;0;0;0;0;
6,27052e-06;0;0;0;0;
6,27963e-06;0;0;0;0;
6,28875e-06;0;0;0;0;
6,29786e-06;0;0;0;0;
6,30697e-06;0;0;0;0;
6,31609e-06;0;0;0;0;
6,3252e-06;0;0;0;0;
6,33432e-06;0;0;0;0;
6,34343e-06;0;0;0;0;
6,35254e-06;0;0;0;0;
6,36166e-06;0;0;0;0;
6,37077e-06;0;0;0;0;
6,37989e-06;0;0;0;0;
6,389e-06;0;0;0;0;
6,39811e-06;0;0;0;0;
6,40723e-06;0;0;0;0;
6,41634e-06;0;0;0;0;
6,42546e-06;0;0;0;0;
6,43457e-06;0;0;0;0;
6,44369e-06;0;0;0;0;
6,4528e-06;0;0;0;0;
6,46191e-06;0;0;0;0;
6,47103e-06;0;0;0;0;
6,48014e-06;0;0;0;0;
6,48926e-06;0;0;0;0;
6,49837e-06;0;0;0;0;
6,50748e-06;0;0;0;0;
6,5166e-06;0;0;0;0;
6,52571e-06;0;0;0;0;
6,53483e-06;0;0;0;0;
6,54394e-06;0;0;0;0;
6,55305e-06;0;0;0;0;
6,56217e-06;0;0;0;0;
