Time;"U(l)";"U(l/2)";"U(l)A";"U(l/2)A";
4,46592e-06;0,000167332;0;0,000167485;0;
4,47503e-06;0,000167674;0;0,000167827;0;
4,48415e-06;0,000168016;0;0,000168169;0;
4,49326e-06;0,000168358;0;0,000168511;0;
4,50238e-06;0,000168701;0;0,000168852;0;
4,51149e-06;0,000169043;0;0,000169194;0;
4,52061e-06;0,000169385;0;0,000169536;0;
4,52972e-06;0,000169727;0;0,000169878;0;
4,53883e-06;0,000170069;0;0,00017022;0;
4,54795e-06;0,000170411;0;0,000170561;0;
4,55706e-06;0,000170753;0;0,000170903;0;
4,56618e-06;0,000171095;0;0,000171245;0;
4,57529e-06;0,000171438;0;0,000171587;0;
4,5844e-06;0,00017178;0;0,000171929;0;
4,59352e-06;0,000172122;0;0,00017227;0;
4,60263e-06;0,000172464;0;0,000172612;0;
4,61175e-06;0,000172806;0;0,000172954;0;
